first name,weight
Unto,0.0011476809507163222
Pyry,0.0011420366181718157
Kyösti,0.0011247273317019958
Robert,0.0011062891787232746
Nooa,0.0011055366010506737
Nico,0.001101397423851369
Jukka-Pekka,0.0010942479359616606
Alexander,0.0010908613364349568
Urho,0.001052856163968613
Heimo,0.0010253870789186813
Tony,0.0010250107900823808
Teppo,0.0010073252147762605
Thomas,0.000999046860377651
Hans,0.0009945313943420459
Miko,0.00098963963947014
Luukas,0.000979103552053728
Robin,0.0009745880860181228
Aku,0.0009693200423099167
Aulis,0.0009648045762743116
Peetu,0.0009632994209291099
Petteri,0.000962546843256509
Sulo,0.0009572787995483029
Santtu,0.0009535159111852986
Ilari,0.0009471190009681912
Aatos,0.0009365829135517791
Jasper,0.0009290571368257704
Leif,0.0009121241391922509
