last name,weight
Kuusela,0.0007959659317774937
Koistinen,0.0007927636549586757
Luoma,0.0007835571091045734
Kyllönen,0.0007799545476834029
Pelkonen,0.0007777529823704654
Kulmala,0.0007735499940457665
Hautala,0.0007729495671422381
Liimatainen,0.0007687465788175393
Tolvanen,0.0007599403175657893
Tuovinen,0.0007593398906622609
Helenius,0.0007539360485305052
Pietilä,0.0007527351947234483
Koivunen,0.0007501333448081586
Penttinen,0.0007489324910011018
Voutilainen,0.000747731637194045
Huotari,0.0007467309256881643
Viljanen,0.0007435286488693461
Pennanen,0.0007429282219658177
Riikonen,0.0007393256605446473
Marttila,0.0007383249490387666
Hyttinen,0.0007367238106293575
Hietanen,0.0007329211069070109
Luukkonen,0.0007329211069070109
Suhonen,0.0007323206800034825
Repo,0.0007321205377023063
