first name,weight
Camilla,0.001132514631607578
Neea,0.0011285623280074247
Pauliina,0.001124969324734558
Minea,0.0011220949221162646
Mila,0.0010983811005153444
Taimi,0.0010732300776052778
Elena,0.0010462825530587775
Mirva,0.0010462825530587775
Janina,0.0010358628435674642
Karoliina,0.0010268803353852974
Sirkku,0.0010250838337488642
Alma,0.0010096339196755373
Carita,0.0010064002167299575
Olga,0.000979811992510744
Isla,0.0009783747912015972
Kaarina,0.000977656190547024
Senja,0.0009715480849831506
Ada,0.0009589725735281172
Peppi,0.0009550202699279639
Eeva-Liisa,0.0009496307650186639
Jutta,0.0009399296561819238
Anna-Maija,0.0009363366529090572
Irina,0.0009316657486543304
Viola,0.0009313064483270438
Oili,0.0009302285473451838
Soili,0.0009273541447268904
Aava,0.0009129821316354237
