middle name,weight
Erika,0.002044914866881457
Margit,0.002014018178082781
Eliisa,0.001989491940582801
Esteri,0.00194107651071271
Hillevi,0.0019312023111997313
Eeva,0.0019120909573036428
Marjukka,0.001849342012011486
Marie,0.001808252601134896
Christina,0.0017888227246738728
Annukka,0.0016391171191545138
Henriikka,0.0016311540550311436
Anni,0.0016289243970765998
Mikaela,0.0016203242878233602
Sylvia,0.0015655384066545735
Isabella,0.001528271266557201
Lyydia,0.0015190341121740917
Juulia,0.0014925967392845029
Onerva,0.0014919596941546332
Aliisa,0.001473803907953349
Anne,0.0014601074376611525
Katarina,0.0014537369863624563
Alice,0.0014499147155832388
Amalia,0.001401499285713148
Viola,0.0013897139508105604
Terttu,0.0013750619128235593
Talvikki,0.0013674173712651238
Alisa,0.0013365206824664476
Carita,0.0013170908060054244
Katri,0.0013119944449664675
Elise,0.001294794226459988
Ester,0.0012578456089275504
Anna-Liisa,0.0012508381124989847
Susanne,0.0012463787965898974
Jasmin,0.0012457417514600277
Riikka,0.0012272674426938091
Tuula,0.0011935040508107195
Elviira,0.0011555998655834775
Lotta,0.001148273846589977
Päivi,0.0011447700983756941
Eerika,0.0011431774855510202
Satu,0.0011393552147718024
Cecilia,0.0011364885116873892
Maaret,0.0011269328347393451
Anitta,0.0011205623834406489
Kerttu,0.0011043177326289738
Heleena,0.001092532397726386
Lilja,0.0010781988823043197
Laura,0.00107756183717445
Tuuli,0.0010361539037329252
Wilhelmiina,0.0010256426590900766
Adele,0.001025005613960207
Elsa,0.0010224574334407285
Josefina,0.0010007978990251617
Ingeborg,0.0009734049584407684
Charlotta,0.0009730864358758335
Hanna,0.0009495157660706578
Elli,0.0009374119086031352
Aada,0.0009367748634732656
Ella,0.0009243524834408081
Martta,0.0009237154383109385
Matleena,0.0009237154383109385
Helmiina,0.0009001447685057629
Sara,0.0008998262459408281
Anja,0.0008953669300317407
Marianna,0.0008944113623369364
Suvi,0.0008673369443174779
Elena,0.0008447218422071066
Eliina,0.0008431292293824325
Loviisa,0.0008348476426941275
Emma,0.0008303883267850403
Camilla,0.000824336398051279
Iiris,0.0008221067400967353
Sanelma,0.000816054811362974
Ritva,0.0008157362887980392
Linnéa,0.0008138251534084304
Eila,0.0007972619800318204
Heidi,0.0007937582318175375
Ulla,0.0007574466594149696
Hilja,0.0007434316665578381
Kirsi,0.0007338759896097939
Victoria,0.0007338759896097939
Lea,0.000728779628570837
Anelma,0.0007160387259734448
Marja-Liisa,0.0006918310110383995
Kirsti,0.0006768604504864636
Lumi,0.0006688973863630934
Louise,0.0006638010253241366
Anette,0.0006631639801942669
Inari,0.0006631639801942669
Saara,0.0006609343222397233
Unelma,0.0006602972771098536
Astrid,0.0006516971678566139
Eva,0.0006513786452916791
Margaretha,0.0006494675099020703
Roosa,0.0006485119422072658
Sirkka,0.0006427785360384393
Marja-Leena,0.0006415044457787001
Annele,0.0006376821749994824
Hilkka,0.000636726607304678
Lydia,0.0006287635431813078
Aili,0.0006258968400968945
Lahja,0.0006239857047072858
Aune,0.0006188893436683288
Sini,0.0006115633246748282
Minna,0.0006090151441553498
Ingrid,0.0005994594672073056
Adalmiina,0.0005991409446423708
Siiri,0.0005978668543826315
Regina,0.0005953186738631532
Annina,0.0005918149256488702
Piritta,0.0005864000420449786
Edith,0.0005797110681813476
Raakel,0.0005787555004865432
Marina,0.0005784369779216084
Mirja,0.0005762073199670648
Ulrika,0.0005739776620125211
Aliina,0.000567607210713825
Irja,0.0005625108496748681
Joanna,0.0005596441465904548
Noora,0.0005532736952917587
Karin,0.0005529551727268239
Isabel,0.0005513625599021498
Krista,0.000547858811687867
Ada,0.000546266198863193
Christine,0.000537984612174888
Sirpa,0.0005373475670450183
Irina,0.0005370290444800835
Paula,0.0005360734767852792
Teresa,0.0005293845029216483
Tiina,0.0005217399613632129
Pirkko,0.0005093175813307555
Jessica,0.0005035841751619289
Sari,0.000500080426947646
Reetta,0.0004991248592528416
Anastasia,0.000498487814122972
Meri,0.0004940284982138847
Alma,0.0004908432725645366
Minea,0.0004908432725645366
Birgit,0.0004895691823047975
Heli,0.0004879765694801234
