middle name,amount,weight
Aulikki,9995,0.0031836330365233897
Helmi,9917,0.003158788276458475
Margareta,9914,0.0031578327087636708
Kristina,9890,0.0031501881672052353
Hellevi,9668,0.003079476157789708
Päivikki,9450,0.0030100382386339204
Mari,9297,0.002961304286198895
Vilhelmiina,8956,0.002852688091556126
Marjut,8875,0.002826887763796407
Kaisa,8349,0.0026593448946406984
Helinä,8266,0.0026329075217511096
Mirjam,8163,0.0026000996975628246
Maritta,7970,0.002538624842530407
Josefiina,7798,0.0024838389613616205
Iida,7666,0.0024417939827902258
Alina,7408,0.002359615161037046
Ida,7247,0.002308333028082542
Ellen,7089,0.0022580064628228425
Erika,6420,0.002044914866881457
Margit,6323,0.002014018178082781
Eliisa,6246,0.001989491940582801
Esteri,6094,0.00194107651071271
Hillevi,6063,0.0019312023111997313
Eeva,6003,0.0019120909573036428
Marjukka,5806,0.001849342012011486
Marie,5677,0.001808252601134896
Christina,5616,0.0017888227246738728
Annukka,5146,0.0016391171191545138
Henriikka,5121,0.0016311540550311436
Anni,5114,0.0016289243970765998
Mikaela,5087,0.0016203242878233602
Sylvia,4915,0.0015655384066545735
Isabella,4798,0.001528271266557201
Lyydia,4769,0.0015190341121740917
Juulia,4686,0.0014925967392845029
Onerva,4684,0.0014919596941546332
Aliisa,4627,0.001473803907953349
Anne,4584,0.0014601074376611525
Katarina,4564,0.0014537369863624563
Alice,4552,0.0014499147155832388
Amalia,4400,0.001401499285713148
Viola,4363,0.0013897139508105604
Terttu,4317,0.0013750619128235593
Talvikki,4293,0.0013674173712651238
Alisa,4196,0.0013365206824664476
Carita,4135,0.0013170908060054244
Katri,4119,0.0013119944449664675
Elise,4065,0.001294794226459988
Ester,3949,0.0012578456089275504
Anna-Liisa,3927,0.0012508381124989847
Susanne,3913,0.0012463787965898974
Jasmin,3911,0.0012457417514600277
Riikka,3853,0.0012272674426938091
Tuula,3747,0.0011935040508107195
Elviira,3628,0.0011555998655834775
Lotta,3605,0.001148273846589977
Päivi,3594,0.0011447700983756941
Eerika,3589,0.0011431774855510202
Satu,3577,0.0011393552147718024
Cecilia,3568,0.0011364885116873892
Maaret,3538,0.0011269328347393451
Anitta,3518,0.0011205623834406489
Kerttu,3467,0.0011043177326289738
Heleena,3430,0.001092532397726386
Lilja,3385,0.0010781988823043197
Laura,3383,0.00107756183717445
Tuuli,3253,0.0010361539037329252
Wilhelmiina,3220,0.0010256426590900766
Adele,3218,0.001025005613960207
Elsa,3210,0.0010224574334407285
Josefina,3142,0.0010007978990251617
Ingeborg,3056,0.0009734049584407684
Charlotta,3055,0.0009730864358758335
Hanna,2981,0.0009495157660706578
Elli,2943,0.0009374119086031352
Aada,2941,0.0009367748634732656
Ella,2902,0.0009243524834408081
Martta,2900,0.0009237154383109385
Matleena,2900,0.0009237154383109385
Helmiina,2826,0.0009001447685057629
Sara,2825,0.0008998262459408281
Anja,2811,0.0008953669300317407
Marianna,2808,0.0008944113623369364
Suvi,2723,0.0008673369443174779
Elena,2652,0.0008447218422071066
Eliina,2647,0.0008431292293824325
Loviisa,2621,0.0008348476426941275
Emma,2607,0.0008303883267850403
Camilla,2588,0.000824336398051279
Iiris,2581,0.0008221067400967353
Sanelma,2562,0.000816054811362974
Ritva,2561,0.0008157362887980392
Linnéa,2555,0.0008138251534084304
Eila,2503,0.0007972619800318204
Heidi,2492,0.0007937582318175375
Ulla,2378,0.0007574466594149696
Hilja,2334,0.0007434316665578381
Kirsi,2304,0.0007338759896097939
Victoria,2304,0.0007338759896097939
Lea,2288,0.000728779628570837
Anelma,2248,0.0007160387259734448
Marja-Liisa,2172,0.0006918310110383995
Kirsti,2125,0.0006768604504864636
Lumi,2100,0.0006688973863630934
Louise,2084,0.0006638010253241366
Anette,2082,0.0006631639801942669
Inari,2082,0.0006631639801942669
Saara,2075,0.0006609343222397233
Unelma,2073,0.0006602972771098536
Astrid,2046,0.0006516971678566139
Eva,2045,0.0006513786452916791
Margaretha,2039,0.0006494675099020703
Roosa,2036,0.0006485119422072658
Sirkka,2018,0.0006427785360384393
Marja-Leena,2014,0.0006415044457787001
Annele,2002,0.0006376821749994824
Hilkka,1999,0.000636726607304678
Lydia,1974,0.0006287635431813078
Aili,1965,0.0006258968400968945
Lahja,1959,0.0006239857047072858
Aune,1943,0.0006188893436683288
